metabolite1	metabolite2	metabolite3	metabolite4	metabolite5	metabolite6	metabolite7	metabolite8	metabolite9	metabolite10	metabolite11	metabolite12	metabolite13	metabolite14	metabolite15	metabolite16	metabolite17	metabolite18	metabolite19	metabolite20	metabolite21	metabolite22
3.359036747	5.43215539	4.000063913	3.735898687	4.605218388	2.528683613	3.568827759	3.089593485	2.770321502	2.692538103	3.000789687	4.030321065	1.941810469	4.967727228	3.452494841	3.506336639	4.870864212	3.370296219	3.808373041	2.999672286	4.703708425	5.309477941
3.379040609	5.427825173	4.01290802	3.470795128	4.194274357	2.639150695	3.371637576	3.12020897	2.728424072	2.72456451	3.098697157	4.206706851	2.06483138	5.059304122	3.438924005	3.785003077	4.919251316	3.452045978	3.674007315	3.0709023	4.513594406	5.304843805
3.405188045	5.524380243	3.94134339	3.539759539	4.094509518	2.599562366	3.291543924	3.257279521	3.11154621	2.817603826	3.134209669	4.113139929	2.145350879	5.228719203	2.788813807	3.889601406	4.298051572	3.344687693	3.213855894	3.000080594	4.409876873	5.256071628
3.425319697	5.478795675	3.859332313	3.481827218	3.844966705	2.563128805	3.241424392	3.245903196	2.679383332	2.771702407	3.007906398	4.070100586	2.305908372	5.376150788	2.913572844	3.929432307	4.183452827	3.361806311	3.725715988	2.930452133	4.446370124	5.219823027
3.510411434	5.529605828	3.884143225	3.376742223	3.89615602	4.587268851	3.225067502	2.97003339	2.824310981	2.689018795	2.845484515	3.889391088	1.286969038	5.378813607	3.519126172	3.755163912	5.386372474	3.730262758	4.231322205	3.272420846	6.007376142	5.000915847
3.462038346	5.506813546	3.791515743	3.147283449	4.028914262	4.53619664	3.228156514	2.917116866	2.925477538	2.634839001	2.844778038	3.887986529	1.947632571	5.337533027	3.475117276	3.458061151	5.354994653	3.290128479	4.185225589	3.146434946	6.176248833	4.953617235
2.444713975	5.91701556	4.279163306	4.34576551	4.249464143	2.766748395	3.508483659	4.262013768	3.803232217	4.105741796	3.966577683	4.656174563	3.816999916	5.498976319	1.740509312	5.092932887	4.434723772	3.526545194	3.597649266	2.730517404	4.70019538	5.183472918
2.403078285	5.827223781	4.223560076	4.461403791	4.472031649	2.694227237	3.586684215	4.21741429	3.863192736	4.129135621	3.807080461	4.712735318	3.951201296	5.423581485	1.628162156	5.109763931	4.431141404	3.519231926	3.651758764	2.761389895	4.559266996	5.241617015
3.14466342	5.745557669	4.261636647	4.368782731	4.49085645	2.638000982	3.674035365	3.929024765	3.830764832	4.223248231	4.158401722	4.763866368	4.178864449	4.564932912	1.807317656	5.19059194	4.301983901	3.769420486	4.350128198	2.692273582	4.58747016	5.360975613
3.108115453	5.715071453	4.321510088	4.35902328	4.445753225	2.70821616	3.59077173	3.986821012	3.814506405	4.28507083	4.195834903	4.754761762	4.15604162	4.518972289	1.644736123	5.140990421	4.232718102	3.708272305	4.636201389	2.691312456	4.246884596	5.201563726
2.438892974	5.95303904	4.07331301	4.435782533	4.3313048	2.530979802	3.400752878	4.430397791	4.059060578	4.271647529	3.646952297	4.685489518	3.323664439	5.578500698	1.859145963	5.110625099	4.348727946	3.484984112	4.38896323	3.232875013	4.411245727	5.183117852
2.473979622	5.934690542	4.0615893	4.495421673	4.28736572	2.512690246	3.461722878	4.403246748	4.09154004	4.278222324	3.631719963	4.693159926	3.425702795	5.542115884	1.897802359	5.112764894	4.330087172	3.485443116	4.389907628	3.170671621	4.526089955	5.159553751
3.155675364	5.439972337	4.047446661	4.441972165	4.382771492	2.590832337	1.678656477	2.948110799	3.57276706	3.342960479	3.36215625	4.291059625	3.0504946	4.372221575	2.67951481	4.153862298	4.594052254	3.867169368	3.065120247	3.991328395	4.385592786	5.199545468
3.197429088	5.498633706	4.121290095	4.268366198	4.215300782	2.57203287	1.652107206	2.958290604	3.544621354	3.378754759	3.407957575	4.330822471	2.970233769	4.377128448	2.647379935	4.155776564	4.606380335	3.893539234	3.070686247	4.023692505	4.477168442	5.213580624
3.190197418	5.772190325	4.130366301	4.165571439	4.30604715	2.396062987	1.763301594	3.396999086	3.538401782	3.667753504	3.296369073	4.686947402	2.71042884	4.444148297	2.198861367	4.645345136	4.424110955	3.768774014	3.179179183	2.59862404	4.295331665	5.433665719
3.137758699	5.7412836	4.235080275	4.279764044	4.386962057	2.428148952	1.938990277	3.385624263	3.632690977	3.662424173	3.380385658	4.578532439	2.724473153	4.418051973	2.181182156	4.625848267	4.433472931	3.662918381	3.184008095	1.811689146	4.542988983	5.417277203
3.472876527	5.667431923	4.177805481	4.687191867	4.073985377	2.461697289	1.758133792	3.879228656	3.660973218	3.229043716	3.638350801	4.088530413	3.231951901	4.658110407	1.991741928	4.439155197	4.238583035	3.71485628	2.883023436	4.302098976	4.593042243	5.296320233
3.424528039	5.668531158	4.134913085	4.671207995	3.992865863	2.475161285	1.335719135	3.850261299	3.66499455	3.295258534	3.659083518	3.864307216	3.170241414	4.623939331	1.869497024	4.432625433	4.344258845	3.664803868	2.865320642	4.36273674	4.663313227	5.241154759
