sample	date	dent	sd	control
Plant1	1	58.5	10.7	H
Plant1	2	14.2	8.6	H
Plant1	3	12.8	3.8	H
Plant1	4	3.8	0.1	H
Plant1	1	12.2	2.8	M
Plant1	2	10.3	2.4	M
Plant1	3	8.6	5.5	M
Plant1	4	3.7	0.1	M
Plant1	1	7.8	2.6	L
Plant1	2	4.6	2.2	L
Plant1	3	3.4	1.6	L
Plant1	4	2.5	2.2	L
Plant2	1	72.7	5.8	H
Plant2	2	22.7	3.4	H
Plant2	3	11.0	4.3	H
Plant2	4	3.0	0.1	H
Plant2	1	36.0	8.9	M
Plant2	2	13.0	1.6	M
Plant2	3	7.2	1.5	M
Plant2	4	3.0	1.1	M
Plant2	1	11.2	3.2	L
Plant2	2	8.3	2.0	L
Plant2	3	2.3	0.8	L
Plant2	4	1.0	0.1	L
Plant3	1	67.7	15.3	H
Plant3	2	13.6	8.9	H
Plant3	3	6.3	3.1	H
Plant3	4	3.4	1.2	H
Plant3	1	37.7	5.8	M
Plant3	2	10.4	5.0	M
Plant3	3	8.7	3.2	M
Plant3	4	2.3	1.6	M
Plant3	1	13.1	3.8	L
Plant3	2	7.5	1.8	L
Plant3	3	4.8	1.6	L
Plant3	4	2.4	1.4	L
Plant4	1	66.0	2.5	H
Plant4	2	11.5	7.2	H
Plant4	3	8.9	2.5	H
Plant4	4	2.3	0.4	H
Plant4	1	41.0	7.2	M
Plant4	2	10.4	4.7	M
Plant4	3	6.8	4.3	M
Plant4	4	1.7	1.1	M
Plant4	1	12.6	0.0	L
Plant4	2	9.0	4.0	L
Plant4	3	2.4	1.7	L
Plant4	4	2.5	0.8	L
