sample	pH	NH4-N	NO3-N	SOC	TN	C/N	T	season	foreststructure
S1	5.17 	2.520281	2.044	11.87836	1.656666667	4.158953722	14.1	1	1
S2	5.17 	2.520281	2.044	11.87836	1.656666667	4.158953722	14.1	1	1
S3	5.26 	3.05295536	2.454	14.61952	1.446666667	5.861751152	13.6	1	1
S4	5.26 	3.05295536	2.454	14.61952	1.446666667	5.861751152	13.6	1	1
S5	5.15 	2.55667292	0.351	14.985008	1.866666667	4.656428571	13.4	1	1
S6	5.15 	2.55667292	0.351	14.985008	1.866666667	4.656428571	13.4	1	1
S7	5.11 	3.5399414	0.57	13.157568	2.123333333	3.594348509	13.6	1	1
S8	5.11 	3.5399414	0.57	13.157568	2.123333333	3.594348509	13.6	1	1
S9	5.01 	3.62851796	7.36	3.65488	1.4	1.514285714	13	1	2
S10	5.01 	3.62851796	7.36	3.65488	1.4	1.514285714	13	1	2
S11	4.89 	4.01921612	16.492	5.665064	1.61	2.040993789	13.3	1	2
S12	4.85 	2.57452556	6.122	7.675248	1.633333333	2.725714286	13	1	2
S13	4.85 	2.57452556	6.122	7.675248	1.633333333	2.725714286	13	1	2
S14	5.04 	2.81690948	4	9.685432	1.54	3.648051948	13.4	1	2
S15	5.04 	2.81690948	4	9.685432	1.54	3.648051948	13.4	1	2
S16	4.63 	3.20211452	11.586	9.685432	1.423333333	3.9470726	12.9	1	3
S17	4.63 	3.20211452	11.586	9.685432	1.423333333	3.9470726	12.9	1	3
S18	4.66 	4.00033352	12.285	9.319944	1.516666667	3.564395604	13.5	1	3
S19	4.66 	4.00033352	12.285	9.319944	1.516666667	3.564395604	13.5	1	3
S20	4.71 	3.40638992	8.008	10.416408	1.283333333	4.708051948	13.1	1	3
S21	4.71 	3.40638992	8.008	10.416408	1.283333333	4.708051948	13.1	1	3
S22	4.71 	3.41737616	6.879	8.040736	1.353333333	3.446305419	13.5	1	3
S23	4.71 	3.41737616	6.879	8.040736	1.353333333	3.446305419	13.5	1	3
S24	4.69 	3.0764585	10.25486167	9.319944	2.1	2.574285714	23.6	2	1
S25	4.56 	3.123991	10.41330333	10.599152	1.866666667	3.293571429	23.2	2	1
S26	4.56 	3.123991	10.41330333	10.599152	1.866666667	3.293571429	23.2	2	1
S27	5.47 	3.770433	12.56811	14.985008	2.123333333	4.093563579	23.1	2	1
S28	5.47 	3.770433	12.56811	14.985008	2.123333333	4.093563579	23.1	2	1
S29	5.27 	3.846485	12.82161667	8.771712	1.726666667	2.946718147	23.7	2	1
S30	5.27 	3.846485	12.82161667	8.771712	1.726666667	2.946718147	23.7	2	1
S31	4.22 	1.945185	6.48395	9.685432	1.61	3.489440994	22.8	2	2
S32	4.22 	1.945185	6.48395	9.685432	1.61	3.489440994	22.8	2	2
S33	5.41 	1.945185	6.48395	10.96464	1.353333333	4.699507389	22.6	2	2
S34	5.41 	1.945185	6.48395	10.96464	1.353333333	4.699507389	22.6	2	2
S35	4.36 	2.249393	7.497976667	11.512872	1.026666667	6.504545455	22.8	2	2
S36	4.36 	2.249393	7.497976667	11.512872	1.026666667	6.504545455	22.8	2	2
S37	4.29 	2.173341	7.24447	3.837624	1.68	1.325	22.8	2	2
S38	4.29 	2.173341	7.24447	3.837624	1.68	1.325	22.8	2	2
S39	4.05 	2.9813935	7.43	13.157568	1.82	4.193406593	22.7	2	3
S40	4.05 	2.9813935	7.43	13.157568	1.82	4.193406593	22.7	2	3
S41	4.28 	2.5631075	9.925	9.685432	1.633333333	3.439591837	22.6	2	3
S42	4.28 	2.5631075	9.925	9.685432	1.633333333	3.439591837	22.6	2	3
S43	4.18 	2.743731	7.49	9.868176	1.4	4.088571429	22	2	3
S44	4.18 	2.743731	7.49	9.868176	1.4	4.088571429	22	2	3
S45	4.28 	2.2969255	6.895	9.1372	1.423333333	3.723653396	22.8	2	3
S46	4.28 	2.2969255	6.895	9.1372	1.423333333	3.723653396	22.8	2	3
S47	5.34 	2.382484	4.472	6.030552	1.796666667	3.356522449	11.7	3	1
S48	5.34 	2.382484	4.472	6.030552	1.796666667	3.356522449	11.7	3	1
S49	5.30 	2.686692	4.677	7.857992	1.82	4.317578022	11.3	3	1
S50	5.30 	2.686692	4.677	7.857992	1.82	4.317578022	11.3	3	1
S51	5.45 	2.743731	3.6255	7.30976	2.123333333	3.442587127	11.3	3	1
S52	5.45 	2.743731	3.6255	7.30976	2.123333333	3.442587127	11.3	3	1
S53	5.40 	2.971887	3.735	8.771712	1.726666667	5.080142085	11.8	3	1
S54	5.40 	2.971887	3.735	8.771712	1.726666667	5.080142085	11.8	3	1
S55	5.23 	1.222691	7.3	10.96464	1.633333333	6.713044898	11.5	3	2
S56	5.23 	1.222691	7.3	10.96464	1.633333333	6.713044898	11.5	3	2
S57	4.93 	1.9166655	11.66	6.578784	1.423333333	4.622096487	11.6	3	2
S58	4.93 	1.9166655	11.66	6.578784	1.423333333	4.622096487	11.6	3	2
S59	5.14 	1.6124575	6.61	12.79208	1.096666667	11.66451064	11.2	3	2
S60	5.14 	1.6124575	6.61	12.79208	1.096666667	11.66451064	11.2	3	2
S61	5.12 	1.4793665	5.45	15.898728	1.4	11.35623429	11.3	3	2
S62	5.12 	1.4793665	5.45	15.898728	1.4	11.35623429	11.3	3	2
S63	4.73 	2.2969255	14.73	11.330128	1.26	8.992165079	12.7	3	3
S64	4.73 	2.2969255	14.73	11.330128	1.26	8.992165079	12.7	3	3
S65	4.79 	2.173341	14.73	10.05092	1.656666667	6.066953722	11.2	3	3
S66	4.79 	2.173341	14.73	10.05092	1.656666667	6.066953722	11.2	3	3
S67	4.92 	2.3539645	10.17	12.426592	1.493333333	8.321378571	12.2	3	3
S68	4.92 	2.3539645	10.17	12.426592	1.493333333	8.321378571	12.2	3	3
S69	4.76 	2.116302	19.29	9.319944	2.123333333	4.389298587	11.4	3	3
