Metabolin1	Metabolin2	Metabolin3	Metabolin4	Metabolin5	Metabolin6	Metabolin7	Metabolin8	Metabolin9	Metabolin10	Metabolin11	Metabolin12	Metabolin13
1.209801	0.732566	0.688426	0.870995	0.932542	67.388736	0.50345	1.348793	1.011365	0.319439	-0.17425	1.728369	5.318699
1.158213	0.687627	0.7408	1.086611	1.352295	48.140204	0.704464	1.488485	1.074316	0.490641	-0.109374	1.558069	5.529003
1.134376	0.713349	0.652661	0.623084	0.743695	58.29456	0.355876	1.03726	0.772305	0.393698	-0.143919	1.623537	4.164864
1.181836	0.674201	0.869155	0.567243	0.865807	72.015865	0.486248	0.961162	0.771257	0.300494	-0.127744	1.696398	5.046796
1.31485	0.937134	1.054277	0.802138	1.146698	63.665812	0.775245	1.068962	0.888664	0.611288	0.268869	1.700129	8.447716
1.197705	0.709488	0.670661	0.594203	0.755847	56.530745	0.463424	1.058052	0.94271	0.223541	-0.192548	1.64542	3.568218
1.119204	0.70698	0.771254	0.563623	0.89596	69.197427	0.448091	0.866628	0.69241	0.274331	-0.077308	1.696546	4.953182
1.144233	0.640146	0.807908	0.653743	1.036074	57.926862	0.460906	0.972129	0.817657	0.492068	-0.216209	1.613885	4.008413
1.202696	0.830917	0.887971	0.471712	0.723576	105.914321	0.440006	0.844578	0.629704	0.298138	-0.02491	1.827231	4.669167
1.193089	0.768558	0.738234	0.549955	0.751622	66.89571	0.411276	0.976395	0.851549	0.304164	-0.158113	1.693862	4.944676
1.159473	0.680868	0.523679	0.626514	0.71269	47.880625	0.46522	1.129998	1.056897	0.335275	-0.326523	1.59921	2.88535
1.08185	0.667308	0.601043	0.488276	0.637846	55.106089	0.486166	0.922567	0.952495	0.163198	-0.33009	1.61247	3.372774
1.176506	0.761597	0.692733	0.61587	0.688617	76.186994	0.599989	1.063117	0.910583	0.27488	-0.104935	1.719477	4.998694
1.137372	0.720185	0.665974	0.562408	0.753226	64.215498	0.384997	0.961916	0.90164	-0.004678	-0.295226	1.674973	5.370469
1.177942	0.73198	0.793251	0.484167	0.695711	71.44832	0.451459	0.879529	0.707602	0.185006	-0.12121	1.67659	4.713667
1.231107	0.742506	0.817938	0.623189	0.835595	78.277948	0.471002	1.033841	0.775794	0.348931	-0.040696	1.75145	5.169377
1.176719	0.601493	0.583758	0.486121	0.780211	52.476824	0.231529	1.018383	0.918829	0.212981	-0.280039	1.637773	3.648528
1.192108	0.79325	0.720256	0.666293	0.870996	75.733824	0.591484	1.105518	0.886285	0.287746	-0.176739	1.733217	5.207197
1.221028	0.747899	0.700763	0.638623	0.831185	73.334818	0.466354	1.069073	0.807687	0.449268	-0.043565	1.708579	4.541948
1.125679	0.772841	0.612748	0.701493	0.835599	47.693839	0.506703	1.19444	1.120942	0.374417	-0.233524	1.559085	3.887082
1.272763	0.870972	0.88839	0.592239	0.832894	67.859082	0.491021	1.022554	0.797386	0.430077	-0.102855	1.674617	5.716226
1.195675	0.725188	0.752397	0.57421	0.731299	65.259427	0.53959	1.081904	0.907223	0.450308	-0.096812	1.698466	4.422284
1.038548	0.668717	0.739095	0.501567	0.558276	65.001057	0.458731	0.896757	0.669292	0.35712	-0.089917	1.663498	4.799777
1.130375	0.800662	0.554905	1.135003	1.072328	44.855695	0.383527	1.637682	1.414678	0.349344	-0.326374	1.516624	4.859507
1.228223	0.76768	0.73667	0.670814	0.934239	71.95236	0.459978	1.074511	0.784007	0.345609	-0.033824	1.723609	4.318251
1.127974	0.658048	0.888703	0.592078	0.873732	73.640577	0.479651	0.939531	0.606445	0.284779	0.038791	1.673492	2.984585
1.016616	0.516561	0.626786	0.541099	0.936959	43.410053	0.316651	0.920571	0.947388	0.173693	-0.437234	1.486436	2.276088
1.212261	0.801195	0.797774	0.515388	0.683206	67.698493	0.437751	0.859798	0.741837	0.175167	-0.105994	1.71393	5.13159
1.075849	0.649193	0.645932	0.506965	0.675166	64.205242	0.439675	0.901792	0.59631	0.302741	0.008217	1.648292	2.907697
1.142798	0.745751	0.560883	0.523243	0.614466	59.716226	0.420441	0.977772	0.778308	0.227702	-0.309498	1.632628	3.175056
1.26704	0.796705	0.769847	0.594231	0.756664	70.933332	0.478135	0.989784	0.854799	0.231206	-0.136677	1.740064	5.4357
0.938747	0.479832	0.599828	0.605535	0.882336	46.669502	0.379138	0.951857	0.697159	0.156218	-0.393194	1.461356	3.633605
1.113035	0.753625	0.631683	0.786318	0.852806	56.157144	0.367123	1.237768	1.010597	0.394832	-0.253491	1.596989	3.786548
1.127381	0.66452	0.707546	0.784086	0.985884	74.800428	0.742917	1.259424	0.787493	0.685657	-0.129354	1.718143	7.149897
1.115518	0.678542	0.553105	0.625811	0.774094	55.239836	0.455435	1.135104	0.971299	0.139779	-0.303033	1.584241	2.309606
1.281827	0.871298	0.714865	0.539936	0.735636	85.183972	0.492034	0.961806	0.740921	0.342459	-0.008596	1.935261	4.447868
1.163937	0.786816	0.78908	0.44029	0.694249	71.972085	0.475234	0.798121	0.806468	0.128793	-0.177443	1.675898	6.175985
0.992936	0.585513	0.648564	0.86936	1.000428	61.926016	0.377582	1.347722	0.882094	0.371985	-0.179943	1.619507	4.499697
1.247269	0.77733	0.847932	0.613018	0.934961	74.241729	0.514972	1.047404	0.766884	0.351229	-0.084513	1.717966	4.806944
1.014939	0.474575	0.700557	0.538546	0.865753	39.535819	0.493574	1.008013	1.109926	0.468746	-0.295734	1.523331	3.261762
1.034063	0.559551	0.58632	0.683522	0.829936	47.050464	0.540627	1.160647	1.049758	0.404276	-0.26595	1.553474	2.585866
1.085237	0.686952	0.891227	0.482952	0.770828	56.220616	0.301415	0.865089	0.754442	0.206588	-0.080605	1.613875	3.589144
1.207272	0.758061	0.610164	0.626289	0.884167	71.231063	0.646011	1.018235	0.691917	0.504581	-0.128494	1.68828	4.782356
1.21205	0.783368	0.803236	0.535749	0.671695	83.413193	0.524145	0.907036	0.684986	0.288965	0.036606	1.759076	5.866558
1.06331	0.653642	0.628289	0.519233	0.76295	58.185626	0.341719	0.882175	0.728987	0.233436	-0.166051	1.606219	3.920756
1.083946	0.719351	0.617815	0.514486	0.716632	45.136884	0.433075	0.930441	0.625745	0.490253	-0.237304	1.470885	3.923163
1.210757	0.789321	0.659868	0.660331	0.830147	57.343189	0.264469	1.15146	0.836345	0.326515	-0.08813	1.651028	4.394713
1.107354	0.833144	1.232467	0.650328	1.069178	62.575499	0.577425	0.806191	0.74215	0.160617	-0.18258	1.635956	6.051488
1.147336	0.752017	0.696222	0.569807	0.78318	60.042836	0.427528	0.963364	0.758711	0.166249	-0.09273	1.664586	4.395104
1.128386	0.691041	0.709165	0.550883	0.607206	76.895722	0.440848	0.93261	0.735845	0.245895	-0.006782	1.723327	6.423379
1.111751	0.657004	0.753258	0.487451	0.765126	60.836143	0.299162	0.918573	0.773961	0.206372	-0.109059	1.662857	4.389499
1.06619	0.620377	0.55589	0.667694	0.898614	47.0744	0.250615	1.09966	0.83204	0.357561	-0.30408	1.587464	3.147342
1.030591	0.676844	0.486624	0.535066	0.479164	64.590363	0.297015	0.948484	0.816456	0.235136	-0.310953	1.605971	3.700296
1.108854	0.702412	0.519999	0.740074	1.02602	59.836051	0.897273	1.19663	0.934935	0.73271	-0.250392	1.665749	3.875139
0.965231	0.487765	0.721086	0.514765	1.128526	52.366185	0.648726	0.887745	0.764508	0.420205	-0.263405	1.584191	4.488957
1.102655	0.709063	0.746333	0.557279	0.76903	64.596854	0.381551	0.941877	0.813504	0.390351	-0.097283	1.680331	6.071639
0.981026	0.455449	0.40332	0.37198	0.796964	36.862862	0.529774	0.904896	0.99757	-0.006189	-0.56324	1.532715	2.021474
1.200371	0.732198	0.614507	0.714068	0.893409	67.306794	0.35831	1.19138	0.959612	0.36216	-0.020353	1.665524	4.241928
1.240286	0.746926	0.821891	0.57979	0.812675	71.222155	0.406461	1.064412	0.807569	0.393558	-0.015002	1.724693	5.499971
1.267611	0.801949	0.553512	0.582559	0.717917	63.132886	0.409415	1.183261	0.943014	0.44887	0.003623	1.66936	4.085216
1.182761	0.618533	0.704755	0.322437	0.620201	47.384075	0.134903	1.004753	0.955935	0.240757	-0.135018	1.620805	3.752071
1.180647	0.69446	0.841448	0.566201	0.809984	65.289573	0.451169	1.00454	0.796887	0.458228	-0.042014	1.706417	6.750919
1.187084	0.755416	0.974565	0.519289	0.604586	69.358292	0.480778	0.930305	0.847662	0.165148	-0.157978	1.71577	6.760839
1.220242	0.898281	0.794673	0.632276	1.017543	47.592813	0.655677	0.933395	0.492412	0.420022	0.007711	1.431067	6.306995
1.110753	0.504975	0.647642	0.303623	0.698045	38.517721	0.270698	1.021257	1.116271	0.174386	-0.311571	1.548473	3.548671
1.130258	0.748734	0.613918	0.652234	0.734825	61.560174	0.38801	1.114978	0.801801	0.514046	-0.142714	1.664778	3.639778
1.149246	0.716739	0.578491	0.737196	0.800705	65.936066	0.627101	1.231492	1.045683	0.425204	-0.188156	1.720924	3.719238
1.028848	0.602014	0.474703	0.468833	0.726281	47.278349	0.287538	0.962957	0.894185	0.33591	-0.362166	1.596942	2.850647
1.014105	0.568918	0.736514	0.567294	0.82168	61.923411	0.594379	1.01457	0.631617	0.493993	-0.156968	1.609184	3.823188
