name,S1CS_4,S1CS_5,S1CS_6,S1CS_1_GA,S1CS_2_GA,S1CS_3_GA,S1N98_4,S1N98_5,S1N98_6,S1N98_1_GA,S1N98_2_GA,S1N98_3_GA,S1dd_4,S1dd_5,S1dd_6,S1dd_1_GA,S1dd_2_GA,S1dd_3_GA,S1DD_4,S1DD_5,S1DD_6,S2DD_1,S1DD_2_GA
TraesCS2B01G445500.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0148677,0,0.0114153,0.0275969
TraesCS2A01G425400.3,2.50E-10,0.21461,0.111384,0.0714202,0.0855868,0.216007,0.1756,0.230336,0.14452,0.000439123,0.494598,1.76E-21,4.13E-06,0.00209705,1.61E-06,0.24575,0.260324,0.268609,0.0861549,0.0566011,0.448791,0.000434034,0.236515
TraesCS2B01G445700.2,5.28E-06,9.16E-11,0.335456,0.254775,0.069111,1.32E-08,1.56E-05,3.52E-06,1.49E-06,0.212921,1.41E-07,0.0924417,4.17E-05,0.002114,1.93E-05,0.115057,0.0788279,6.56E-05,0.102237,1.19E-05,6.41E-06,2.47E-06,0.122604
TraesCS2D01G423300.4,0.509335,0.122929,0.689364,0.0643417,0.20804,0.279291,0.229221,4.33E-06,0.396462,1.89E-06,0.00206484,0.13927,0.000326697,0.535913,0.0970323,0.161076,0.362838,0.562157,0.0692685,0.0844235,1.42E-05,1.79E-15,0.484125
TraesCS3A01G399800.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TraesCS3B01G432800.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0354503
TraesCS3D01G394000.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0367994
TraesCS4A01G319100.1,1.49717,2.70919,3.18347,2.09435,1.37927,0.561714,4.00054,5.71317,4.47724,1.52409,2.21519,2.60673,3.09815,3.67094,3.21924,4.42061,3.65855,5.141,3.01257,4.17202,4.15479,0.233809,2.23063
TraesCS5B01G560300.1,0.52833,1.0615,2.35156,0.469477,0.445778,0.185851,1.01387,1.7659,0.798634,0.28815,0.109937,0.610976,1.50196,1.07825,1.34744,1.58461,1.42415,1.00516,2.16145,2.10903,2.11415,0.0870496,0.249985
TraesCS5D01G566200.1,1.18235,1.37512,1.01459,1.1656,1.98591,0.982056,0.907236,4.30578,2.69801,0.515735,1.01198,1.94754,2.59613,2.7379,2.00812,3.27178,2.43938,3.39991,3.54018,3.60733,3.18937,0.118618,1.16869
TraesCS1A01G263600.1,0,0,0.0328521,0,0,0,0.037781,0.0911725,0.0932819,0,0.0327537,0,0.0640123,0.199441,0.103234,0.0272686,0.0636977,0,0.0290609,0.343136,0.248165,0.130149,0
TraesCS1B01G274200.1,0,0,0,0,0.0546796,0,0.18113,0,0,0.0308684,0.031399,0,0.0306968,0,0,0,0,0.0331627,0.0557244,0,0.119008,0.599639,0
TraesCS1D01G263700.1,0.112998,0.212299,0.22048,0.0864514,0.109359,0,0.470938,0.349758,0.298274,0.0308684,0,0.123443,0.122787,0.127472,0.0329885,0.104605,0.0610806,0.0331627,0.167173,0.394893,0.14876,1.79892,0
TraesCS3A01G406200.1,1.95831,3.84906,1.17915,1.37002,1.32421,1.57562,12.4725,12.1967,7.59775,6.36911,3.58289,4.20232,2.91707,5.12091,2.86095,1.91139,0.836864,1.93863,5.24076,7.72674,5.3285,0.0914674,0.447451
TraesCS3B01G439900.1,1.6199,1.82813,1.68425,0.81283,1.24964,1.62614,4.50846,5.47022,3.97912,2.16073,1.25152,1.98082,2.35825,3.532,1.47525,1.60209,1.90052,2.9666,3.25064,5.12001,3.16814,0.583427,0.44661
TraesCS3D01G401400.1,1.41632,2.59267,0.907323,1.52795,1.14403,1.70219,8.0466,10.4599,6.829,3.38437,2.47958,4.01768,2.99682,5.59651,2.26804,1.28856,0.681292,0.55485,5.54059,7.22011,5.0209,0.511748,0.313055
TraesCS1A01G296000.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TraesCS3D01G393900.1,0,0,0,0.104795,0,0.0322909,0,0,0.0361746,0,0,0,0.0745272,0,0,0.222292,0,0.0402928,0,0.0799207,0,0,0.0372244
TraesCS1B01G114000.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TraesCS7B01G333600.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0158086,0
TraesCS2B01G570800.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TraesCS2A01G540400.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TraesCS2B01G570900.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TraesCS2D01G542100.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TraesCS3A01G122600.1,3.3306,10.4575,2.25305,4.77678,2.93958,2.27718,3.05008,7.09304,6.11383,4.55968,4.85642,3.94602,3.85553,4.10011,4.43565,3.34566,7.02532,4.51202,5.40053,7.02936,5.55358,5.26787,2.29585
TraesCS3B01G141800.1,5.75194,20.3304,4.21264,9.40496,6.07965,10.0954,5.95477,9.39444,12.9959,8.68812,7.29329,3.46084,4.68608,10.0389,9.93577,9.16605,22.5844,7.40682,8.38866,11.2994,17.117,15.9031,15.5981
TraesCS3D01G124500.1,3.80407,23.038,3.79748,3.69869,2.59313,4.36033,4.67957,11.0902,11.0255,7.19574,6.86784,3.66162,5.19966,6.6374,7.44351,7.38457,14.4204,4.97087,9.09731,12.2824,13.3869,20.2246,6.64031
TraesCS2B01G546200.1,0,0,0,2.81E-07,0,0,0,0,0,33.9236,0,25.5043,0,8.56E-07,0,0.00242291,5.36013,4.80559,0,0,0,0,0
TraesCS2A01G379000.1,0.134096,0.0718306,0.111886,0.306263,0.581655,0.377292,0.300145,0.137862,0.281899,0.877463,0.557972,0.510627,0.181466,0.264182,0.312626,0.74226,1.96943,0.353144,0,0.155671,0,0.0883164,0.362476
TraesCS2B01G396000.1,0.390742,0.173099,0.17979,0.0706894,0.335019,0.129879,0.265967,0.142798,0.19503,0.629111,0.435047,0.680739,0.175485,0.233842,0.887323,1.17432,2.64172,1.02838,0,0.134338,0.0728974,0.0819013,2.17322
TraesCS2D01G375300.1,0.116138,0.0999486,0.0778585,0.452324,0.36106,0.262476,0.0298604,0.0721409,0.0492621,0.254279,0.103437,0.331162,0.177307,0.105017,0.108681,0.474612,0.46586,0.71096,0.0688726,0.108588,0.0245515,0,0.631009
TraesCS3B01G603000.1,0.0388537,0.0415369,0.043128,0.0784881,0,0.0363633,0.148693,0.597026,0.121964,0,0.129114,0,0.167624,0.305549,0.18084,0,0.167032,0,0.419666,0.44949,0.487335,0.304878,0.0419025
TraesCS3D01G542800.1,0.0370537,0.079282,0.123483,0.149955,0.0712417,0.10411,0.0946203,0.0380038,0.116492,0.161433,0.123204,0.160816,0.0800303,0.208284,0.0431416,0.102317,0,0.0432841,0.218468,0.12875,0.310236,0.453377,0.119988
TraesCS4A01G033200.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TraesCS4B01G272100.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TraesCS4B01G376100.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TraesCS4B01G376200.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
