 OTUID	ACK1	ACK2	ACK3	AP1	AP2	AP3	BCK1	BCK2	BCK3	BP1	BP2	BP3
Zotu99	57	35	6	13	7	1	2	0	0	58	0	44
Zotu21	188	135	784	557	707	184	57	3	68	582	72	88
Zotu2	5690	5101	4448	927	1826	376	157	6	1857	6199	753	3400
Zotu4	3048	4693	2176	3473	1166	284	58	2	1	449	88	846
Zotu1	8616	3400	18026	7332	7853	4365	199	2	83	2873	303	3031
Zotu35	104	25	10	15	5	1	59	3	5	977	37	90
Zotu7	4238	2	1	1	0	5	14660	0	0	3	751	1
Zotu100	4	29	26	15	29	142	2	15	0	1	23	11
Zotu5	185	242	11	449	1236	700	166	5102	8116	472	1827	5558
Zotu15	506	175	1365	306	1292	299	75	1	81	232	61	142
Zotu16	624	871	419	728	253	41	11	0	0	95	12	155
Zotu89	4	73	3	21	4	18	21	2	0	35	0	21
Zotu11	1458	0	0	0	0	0	5649	0	0	0	2326	0
Zotu30	226	302	47	27	59	4	9	0	0	24	0	72
Zotu152	4	3	1	5	1	2	0	51	15	104	1	13
Zotu6	351	2523	294	385	449	262	30	7	45	2876	42	170
Zotu3	441	293	17	304	459	1624	423	15392	12	5328	2908	6552
Zotu95	65	0	0	2	4	2	230	2	0	0	123	1
Zotu36	713	0	0	0	0	0	1292	0	1	0	2	0
Zotu29	184	0	0	0	0	0	1420	0	0	0	0	0
Zotu12	1072	856	65	107	76	13	104	9	113	2386	86	607
Zotu480	3	1	0	0	0	0	4	0	0	2	1	5
Zotu8	457	0	0	1	0	0	2194	0	0	0	15153	1
Zotu651	4	0	0	1	0	0	0	2	0	0	0	4
Zotu22	74	638	3	535	658	924	23	84	6	303	32	224
Zotu10	91	360	143	7459	1117	4265	1	5	83	83	36	82
Zotu25	268	471	54	40	63	15	21	0	2	28	24	91
Zotu13	99	1002	223	190	863	1350	12	16	4	6	32	100
Zotu83	16	48	0	146	82	124	0	0	1	0	0	5
Zotu14	43	495	476	386	1473	2128	0	0	2	8	0	18
Zotu92	50	87	0	12	10	25	3	2	1	3	8	8
Zotu94	6	1	0	3	2	7	7	88	26	39	32	63
Zotu39	29	40	12	92	328	101	24	108	69	87	340	370
Zotu102	21	44	1	5	43	27	0	26	0	16	12	54
Zotu9	355	2087	241	350	383	210	13	5	28	985	89	144
Zotu44	71	129	75	109	24	6	5	1	2	124	0	31
Zotu54	55	34	0	17	31	109	1	16	2	295	427	80
Zotu307	10	5	0	0	1	0	1	8	3	7	0	0
Zotu155	33	35	10	34	14	3	5	0	0	13	3	4
Zotu84	28	68	1	17	23	40	15	2	0	20	12	19
Zotu96	27	0	18	28	2	2	52	3	4	145	17	4
Zotu24	38	19	0	7	8	0	25	1718	18	41	36	106
Zotu17	98	1896	1	15	41	43	4	43	3	67	0	11
Zotu150	3	11	24	25	6	50	7	0	1	49	9	5
Zotu141	46	24	0	4	49	2	0	0	0	0	0	0
Zotu74	12	57	16	11	91	76	3	13	96	17	7	28
