期刊名称,issn,eissn,分类,引用次数,影响因子,jci,开放比例
2D Materials,2053-1583,2053-1583,"MATERIALS SCIENCE, MULTIDISCIPLINARY - SCIE(Q2)",10005,6.861,1.13,17.68
3 Biotech,2190-572X,2190-5738,BIOTECHNOLOGY & APPLIED MICROBIOLOGY - SCIE(Q3),9310,2.893,0.54,3.57
3C Empresa,2254-3376,2254-3376,BUSINESS - ESCI(N/A),16,N/A,0.02,98.65
3c Tecnologia,2254-4143,2254-4143,"ENGINEERING, MULTIDISCIPLINARY - ESCI(N/A)",56,N/A,0.12,96.71
3C Tic,2254-6529,2254-6529,"COMPUTER SCIENCE, THEORY & METHODS - ESCI(N/A)",16,N/A,0.04,95.29
3D Printing and Additive Manufacturing,2329-7662,2329-7670,"ENGINEERING, MANUFACTURING - SCIE(Q2); MATERIALS SCIENCE, MULTIDISCIPLINARY - SCIE(Q2)",1607,5.355,0.83,8.9
3D Printing in Medicine,N/A,2365-6271,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING - ESCI(N/A)",570,N/A,1,100
3L-Language Linguistics Literature-The Southeast Asian Journal of English Language Studies,0128-5157,2550-2247,LANGUAGE & LINGUISTICS - ESCI(N/A),256,N/A,1.19,28.85
452 F-Revista de Teoria de la Literatura y Literatura Comparada,N/A,2013-3294,LITERATURE - ESCI(N/A),14,N/A,0.25,48.44
4OR-A Quarterly Journal of Operations Research,1619-4500,1614-2411,OPERATIONS RESEARCH & MANAGEMENT SCIENCE - SCIE(Q4),697,1.763,0.37,18.75
A & A Practice,2325-7237,2325-7237,ANESTHESIOLOGY - ESCI(N/A),539,N/A,0.29,4.43
